date, pm25, pm10
2020/7/1, 70, 37
2020/7/2, 74, 23
2020/7/3, 64, 
2020/7/4, 47, 
2020/7/5, 36, 
2020/7/6, 14, 12
2020/7/7, 25, 11
2020/7/8, 14, 16
2020/7/9, 30, 13
2020/7/10, 18, 10
2020/7/11, 15, 14
2020/7/12, 26, 
2020/6/1, 66, 32
2020/6/2, 50, 39
2020/6/3, 66, 36
2020/6/4, 79, 17
2020/6/5, 35, 12
2020/6/6, 18, 15
2020/6/7, 19, 13
2020/6/8, 31, 30
2020/6/9, 55, 28
2020/6/10, 65, 32
2020/6/11, 61, 22
2020/6/12, 49, 19
2020/6/13, 34, 13
2020/6/14, 18, 13
2020/6/15, 17, 13
2020/6/16, 13, 15
2020/6/17, 21, 14
2020/6/18, 15, 16
2020/6/19, 27, 
2020/6/20, 50, 
2020/6/21, 52, 
2020/6/22, 17, 51
2020/6/23, 29, 35
2020/6/24, 46, 27
2020/6/25, 45, 13
2020/6/26, 22, 22
2020/6/27, 35, 25
2020/6/28, 42, 22
2020/6/29, 37, 37
2020/6/30, 63, 35
2020/5/1, 61, 27
2020/5/2, 62, 36
2020/5/3, 71, 28
2020/5/4, 51, 
2020/5/5, 49, 17
2020/5/6, 32, 23
2020/5/7, 50, 26
2020/5/8, 56, 35
2020/5/9, 66, 42
2020/5/10, 76, 53
2020/5/11, 106, 45
2020/5/12, 89, 70
2020/5/13, 86, 47
2020/5/14, 95, 44
2020/5/15, 96, 54
2020/5/16, 112, 55
2020/5/17, 110, 50
2020/5/18, 103, 41
2020/5/19, 82, 43
2020/5/20, 81, 31
2020/5/21, 74, 42
2020/5/22, 87, 34
2020/5/23, 73, 42
2020/5/24, 85, 43
2020/5/25, 84, 36
2020/5/26, 81, 24
2020/5/27, 67, 29
2020/5/28, 52, 21
2020/5/29, 35, 27
2020/5/30, 55, 29
2020/5/31, 60, 34
2020/4/1, 115, 36
2020/4/2, 85, 49
2020/4/3, 115, 57
2020/4/4, 133, 60
2020/4/5, 153, 72
2020/4/6, 159, 70
2020/4/7, 153, 77
2020/4/8, 164, 66
2020/4/9, 144, 73
2020/4/10, 150, 87
2020/4/11, 194, 77
2020/4/12, 174, 76
2020/4/13, 166, 57
2020/4/14, 142, 30
2020/4/15, 93, 43
2020/4/16, 109, 45
2020/4/17, 116, 35
2020/4/18, 78, 42
2020/4/19, 73, 34
2020/4/20, 96, 14
2020/4/21, 41, 18
2020/4/22, 47, 32
2020/4/23, 86, 34
2020/4/24, 78, 
2020/4/25, 76, 
2020/4/26, 84, 23
2020/4/27, 67, 26
2020/4/28, 60, 29
2020/4/29, 64, 28
2020/4/30, 69, 28
2020/3/1, 113, 40
2020/3/2, 115, 28
2020/3/3, 110, 32
2020/3/4, 115, 33
2020/3/5, 114, 42
2020/3/6, 116, 26
2020/3/7, 91, 23
2020/3/8, 104, 24
2020/3/9, 100, 31
2020/3/10, 115, 32
2020/3/11, 133, 36
2020/3/12, 111, 47
2020/3/13, 145, 18
2020/3/14, 109, 25
2020/3/15, 93, 24
2020/3/16, 90, 24
2020/3/20, 103, 11
2020/3/21, 102, 15
2020/3/22, 99, 34
2020/3/23, 70, 36
2020/3/24, 88, 43
2020/3/25, 105, 48
2020/3/26, 114, 49
2020/3/27, 113, 22
2020/3/28, 58, 29
2020/3/29, 80, 44
2020/3/30, 91, 48
2020/3/31, 117, 45
2020/2/1, 137, 33
2020/2/2, 139, 36
2020/2/3, 149, 36
2020/2/4, 157, 28
2020/2/5, 149, 34
2020/2/6, 155, 35
2020/2/7, 160, 35
2020/2/8, 151, 39
2020/2/9, 157, 
2020/2/10, 149, 
2020/2/11, 148, 
2020/2/12, 153, 
2020/2/13, 159, 
2020/2/14, 158, 
